"dataset","train","batchSz","hNodes","lRate","epochs","sampleSz","accTrnErr","misses","classErr","runtime"
"digits","ol",1,40,0.025,10,573,0.47,92,5.12,141.2
"digits","ol",1,50,0.025,10,573,2.96,95,5.29,173.9
"digits","ol",1,40,0.05,10,382,0.88,96,5.34,123.6
"digits","ol",1,50,0.05,10,382,2.33,104,5.79,148.5
"digits","ol",1,40,0.05,10,573,0.35,111,6.18,143.7
"digits","ol",1,40,0.025,10,382,5.48,116,6.46,123.3
"digits","ol",1,50,0.05,10,573,0.94,123,6.84,168.9
"digits","ol",1,40,0.05,5,382,8.45,124,6.9,63.2
"digits","ol",1,50,0.025,10,382,5.63,124,6.9,145.7
"digits","ol",1,40,0.025,5,382,3.12,129,7.18,64.3
"digits","ol",1,50,0.025,5,382,20.42,133,7.4,79.9
"digits","ol",1,40,0.05,5,573,1.79,136,7.57,89.4
"digits","ol",1,50,0.025,5,573,0.49,136,7.57,106.8
"digits","ol",1,40,0.025,5,573,2.05,149,8.29,88.5
"digits","ol",1,50,0.05,5,573,11.88,150,8.35,106.8
"digits","ol",1,50,0.05,5,382,2.96,167,9.29,81.3
"digits","ol",1,40,0.05,1,573,0.25,253,14.08,20.1
"digits","ol",1,50,0.05,1,573,69.4,263,14.64,25.1
"digits","ol",1,50,0.025,1,573,0.52,293,16.3,25.0
"digits","ol",1,40,0.025,1,573,30.63,336,18.7,20.1
"digits","ol",1,40,0.025,1,382,6.31,381,21.2,14.2
"digits","ol",1,40,0.05,1,382,2.18,461,25.65,13.7
"digits","ol",1,50,0.05,1,382,5.91,485,26.99,17.1
"digits","ol",1,50,0.025,1,382,40.56,523,29.1,17.1
